Helyezés	Idõ	Versenyzõ neve	Születési év	Ország	Versenynap	Férfi/Nõi	Táv	Versenyszám																				
2	08:00.96	MICKA Jan	1995	CZE	05/10/2019	férfi	800	gyors																				
2	15:03.19	MICKA Jan	1995	CZE	05/10/2019	férfi	1500	gyors																				
8	00:26.56	MIKKELSEN Amalie	1997	DEN	05/10/2019	nõi	50	pillangó																				
9	00:23.74	MILAK Kristof	2000	HUN	05/10/2019	férfi	50	gyors																				
9	00:49.44	MILAK Kristof	2000	HUN	05/10/2019	férfi	100	gyors																				
2	01:47.69	MILAK Kristof	2000	HUN	06/10/2019	férfi	200	gyors																				
10	01:50.27	MILAK Kristof	2000	HUN	06/10/2019	férfi	200	gyors																				
9	00:55.67	MILAK Kristof	2000	HUN	06/10/2019	férfi	100	hát																				
1	00:22.71	MOROZOV Vladimir	1992	RUS	05/10/2019	férfi	50	gyors																				
4	00:23.32	MOROZOV Vladimir	1992	RUS	05/10/2019	férfi	50	gyors																				
1	00:47.99	MOROZOV Vladimir	1992	RUS	05/10/2019	férfi	100	gyors																				
6	00:49.11	MOROZOV Vladimir	1992	RUS	05/10/2019	férfi	100	gyors																				
1	00:24.70	MOROZOV Vladimir	1992	RUS	05/10/2019	férfi	50	hát																				
2	00:25.03	MOROZOV Vladimir	1992	RUS	05/10/2019	férfi	50	hát																				
3	00:27.39	MUSTAFIN Vladislav	1995	UZB	05/10/2019	férfi	50	mell																				
6	00:27.46	MUSTAFIN Vladislav	1995	UZB	05/10/2019	férfi	50	mell																				
8	04:26.41	NAGY Richard	1993	SVK	06/10/2019	férfi	400	vegyes																				
7	00:49.30	NEMETH Nandor	1999	HUN	05/10/2019	férfi	100	gyors																				
8	00:55.61	NEMETH Nandor	1999	HUN	06/10/2019	férfi	100	hát																				
8	04:10.39	NGUYEN Huu Kim Son	2002	VIE	05/10/2019	férfi	400	gyors																				
8	08:27.10	NGUYEN Huu Kim Son	2002	VIE	05/10/2019	férfi	800	gyors																				
8	15:52.29	NGUYEN Huu Kim Son	2002	VIE	05/10/2019	férfi	1500	gyors																				
9	04:28.75	NGUYEN Huu Kim Son	2002	VIE	06/10/2019	férfi	400	vegyes																				
4	04:18.19	ODER Tjasa	1994	SLO	06/10/2019	nõi	400	gyors																				
3	08:37.02	ODER Tjasa	1994	SLO	06/10/2019	nõi	800	gyors																				
2	02:12.40	OMOTO Rika	1997	JPN	06/10/2019	nõi	200	vegyes																				
5	02:14.43	OMOTO Rika	1997	JPN	06/10/2019	nõi	200	vegyes																				
1	00:55.37	PAKHOMOV Daniil	1998	RUS	05/10/2019	férfi	100	pillangó																				
8	00:57.48	PAKHOMOV Daniil	1998	RUS	05/10/2019	férfi	100	pillangó																				
2	01:58.69	PAKHOMOV Daniil	1998	RUS	05/10/2019	férfi	200	pillangó																				
10	04:14.97	PAPP Mark	1994	HUN	05/10/2019	férfi	400	gyors																				
10	08:40.42	PAPP Mark	1994	HUN	05/10/2019	férfi	800	gyors																				
10	16:30.84	PAPP Mark	1994	HUN	05/10/2019	férfi	1500	gyors																				
7	04:22.50	PEREZ BLANCO Jimena	1997	ESP	06/10/2019	nõi	400	gyors																				
6	08:43.82	PEREZ BLANCO Jimena	1997	ESP	06/10/2019	nõi	800	gyors																				
6	04:50.29	PEREZ BLANCO Jimena	1997	ESP	05/10/2019	nõi	400	vegyes																				
10	04:25.51	PIECHOTA Paulina	1999	POL	06/10/2019	nõi	400	gyors																				
10	08:57.51	PIECHOTA Paulina	1999	POL	06/10/2019	nõi	800	gyors																				
6	00:31.63	PODMANIKOVA Andrea	1998	SVK	06/10/2019	nõi	50	mell																				
7	04:23.73	PONS RAMON Joan Lluis	1996	ESP	06/10/2019	férfi	400	vegyes																				
9	00:57.51	POPRAWA Michal	1994	POL	05/10/2019	férfi	100	pillangó																				
9	00:23.75	POYTAKIVI Riku	1993	FIN	06/10/2019	férfi	50	pillangó																				
1	01:45.97	RAPSYS Danas	1995	LTU	06/10/2019	férfi	200	gyors																				
5	01:48.62	RAPSYS Danas	1995	LTU	06/10/2019	férfi	200	gyors																				
2	01:59.42	RAPSYS Danas	1995	LTU	05/10/2019	férfi	200	vegyes																				
7	02:01.75	RAPSYS Danas	1995	LTU	05/10/2019	férfi	200	vegyes																				
8	04:54.00	RUOTSALAINEN Vilma	1997	FIN	05/10/2019	nõi	400	vegyes																				
6	00:59.92	SCHMIDTKE Aliena	1992	GER	06/10/2019	nõi	100	pillangó																				
9	01:00.30	SCHMIDTKE Aliena	1992	GER	06/10/2019	nõi	100	pillangó																				
8	01:09.38	SCHOUTEN Tes	2000	NED	05/10/2019	nõi	100	mell																				
10	01:09.46	SCHOUTEN Tes	2000	NED	05/10/2019	nõi	100	mell																				
7	02:16.10	SEBESTYEN Dalma	1997	HUN	06/10/2019	nõi	200	vegyes																				
10	02:16.79	SEBESTYEN Dalma	1997	HUN	06/10/2019	nõi	200	vegyes																				
4	01:03.44	SIDLAUSKAS Andrius	1997	LTU	06/10/2019	férfi	100	mell																				
4	00:27.41	SILADI Caba	1990	CLB	05/10/2019	férfi	50	mell																				
5	00:27.42	SILADI Caba	1990	CLB	05/10/2019	férfi	50	mell																				
9	04:59.82	SIMONOVA Vitalina	1992	RUS	05/10/2019	nõi	400	vegyes																				
10	04:32.23	SYOUD Jaouad	1999	ALG	06/10/2019	férfi	400	vegyes																				
2	00:23.17	SZABO Szebasztian	1996	HUN	05/10/2019	férfi	50	gyors																				
7	00:23.68	SZABO Szebasztian	1996	HUN	05/10/2019	férfi	50	gyors																				
5	00:49.05	SZABO Szebasztian	1996	HUN	05/10/2019	férfi	100	gyors																				
1	00:23.22	SZABO Szebasztian	1996	HUN	06/10/2019	férfi	50	pillangó																				
5	00:23.62	SZABO Szebasztian	1996	HUN	06/10/2019	férfi	50	pillangó																				
4	02:13.17	SZABO-FELTOTHY Eszter	2002	HUN	06/10/2019	nõi	200	hát																				
7	02:15.38	SZABO-FELTOTHY Eszter	2002	HUN	06/10/2019	nõi	200	hát																				
3	00:25.09	SZENTES Bence	1996	HUN	05/10/2019	férfi	50	hát																				
7	00:31.64	SZTANKOVICS Anna	1996	HUN	06/10/2019	nõi	50	mell																				
8	00:31.65	SZTANKOVICS Anna	1996	HUN	06/10/2019	nõi	50	mell																				
3	00:31.28	TANG Qianting	2004	CHN	06/10/2019	nõi	50	mell																				
5	00:31.55	TANG Qianting	2004	CHN	06/10/2019	nõi	50	mell																				
5	00:25.24	TARASEVICH Grigory	1995	RUS	05/10/2019	férfi	50	hát																				
8	00:25.38	TARASEVICH Grigory	1995	RUS	05/10/2019	férfi	50	hát																				
3	00:54.71	TARASEVICH Grigory	1995	RUS	06/10/2019	férfi	100	hát																				
7	00:55.41	TARASEVICH Grigory	1995	RUS	06/10/2019	férfi	100	hát																				
6	00:57.13	TEKAUER Mark	1998	HUN	05/10/2019	férfi	100	pillangó																				
9	02:01.03	TEKAUER Mark	1998	HUN	05/10/2019	férfi	200	pillangó																				
5	00:54.94	TELEGDY Adam	1995	HUN	06/10/2019	férfi	100	hát																				
2	01:07.81	TERAMURA Miho	1994	JPN	05/10/2019	nõi	100	mell																				
3	01:07.94	TERAMURA Miho	1994	JPN	05/10/2019	nõi	100	mell																				
10	00:26.94	TOUSSAINT Kira	1994	NED	06/10/2019	nõi	50	gyors																				
1	00:29.18	TOUSSAINT Kira	1994	NED	05/10/2019	nõi	50	hát																				
3	00:29.52	TOUSSAINT Kira	1994	NED	05/10/2019	nõi	50	hát																				
1	00:59.56	TOUSSAINT Kira	1994	NED	05/10/2019	nõi	100	hát																				
3	01:00.21	TOUSSAINT Kira	1994	NED	05/10/2019	nõi	100	hát																				
10	00:31.83	VALL MONTERO Jessica	1988	ESP	06/10/2019	nõi	50	mell																				
7	01:08.66	VALL MONTERO Jessica	1988	ESP	05/10/2019	nõi	100	mell																				
8	01:09.38	VALL MONTERO Jessica	1988	ESP	05/10/2019	nõi	100	mell																				
6	00:23.58	VEKOVISHCHEV Mikhail	1998	RUS	05/10/2019	férfi	50	gyors																				
8	00:49.43	VEKOVISHCHEV Mikhail	1998	RUS	05/10/2019	férfi	100	gyors																				
8	01:50.15	VEKOVISHCHEV Mikhail	1998	RUS	06/10/2019	férfi	200	gyors																				
4	00:23.56	VEKOVISHCHEV Mikhail	1998	RUS	06/10/2019	férfi	50	pillangó																				
10	00:23.76	VEKOVISHCHEV Mikhail	1998	RUS	06/10/2019	férfi	50	pillangó																				
4	01:59.41	VERRASZTO David	1988	HUN	05/10/2019	férfi	200	pillangó																				
10	02:01.11	VERRASZTO David	1988	HUN	05/10/2019	férfi	200	pillangó																				
2	04:15.32	VERRASZTO David	1988	HUN	06/10/2019	férfi	400	vegyes																				
4	00:59.75	VERRASZTO Evelin	1989	HUN	06/10/2019	nõi	100	pillangó																				
8	01:00.17	VERRASZTO Evelin	1989	HUN	06/10/2019	nõi	100	pillangó																				
5	01:08.50	VOZEL Tjasa	1994	SLO	05/10/2019	nõi	100	mell																				
6	01:08.63	VOZEL Tjasa	1994	SLO	05/10/2019	nõi	100	mell																				
10	00:27.91	WATANABE Hayato	1993	JPN	05/10/2019	férfi	50	mell																				
5	01:03.99	WATANABE Hayato	1993	JPN	06/10/2019	férfi	100	mell																				
8	01:04.32	WATANABE Hayato	1993	JPN	06/10/2019	férfi	100	mell																				
6	02:12.40	WATANABE Hayato	1993	JPN	06/10/2019	férfi	200	mell																				
9	02:13.10	WATANABE Hayato	1993	JPN	06/10/2019	férfi	200	mell																				
6	01:04.25	WATANABE Ippei	1997	JPN	06/10/2019	férfi	100	mell																				
10	01:04.42	WATANABE Ippei	1997	JPN	06/10/2019	férfi	100	mell																				
4	02:11.47	WATANABE Ippei	1997	JPN	06/10/2019	férfi	200	mell																				
2	04:00.16	WELLBROCK Florian	1997	GER	05/10/2019	férfi	400	gyors																				
1	08:00.81	WELLBROCK Florian	1997	GER	05/10/2019	férfi	800	gyors																				
1	14:57.83	WELLBROCK Florian	1997	GER	05/10/2019	férfi	1500	gyors																				
5	04:00.96	WOJDAK Wojciech	1996	POL	05/10/2019	férfi	400	gyors																				
5	08:08.37	WOJDAK Wojciech	1996	POL	05/10/2019	férfi	800	gyors																				
7	15:37.76	WOJDAK Wojciech	1996	POL	05/10/2019	férfi	1500	gyors																				
9	04:14.29	ZABOROWSKI Filip	1994	POL	05/10/2019	férfi	400	gyors																				
9	08:30.89	ZABOROWSKI Filip	1994	POL	05/10/2019	férfi	800	gyors																				
9	16:06.91	ZABOROWSKI Filip	1994	POL	05/10/2019	férfi	1500	gyors																				
3	01:03.03	ZHANG Ruixuan	1999	CHN	06/10/2019	férfi	100	mell																				
9	01:04.38	ZHANG Ruixuan	1999	CHN	06/10/2019	férfi	100	mell																				
3	02:10.23	ZHANG Ruixuan	1999	CHN	06/10/2019	férfi	200	mell																				
7	02:12.74	ZHANG Ruixuan	1999	CHN	06/10/2019	férfi	200	mell																				
6	02:14.63	ZHANG Wenwen	2005	CHN	06/10/2019	nõi	200	hát																				
9	02:16.40	ZHANG Wenwen	2005	CHN	06/10/2019	nõi	200	hát																				
2	00:23.34	ZHILKIN Andrey	1995	RUS	06/10/2019	férfi	50	pillangó																				
6	00:23.68	ZHILKIN Andrey	1995	RUS	06/10/2019	férfi	50	pillangó																				
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
